,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
4777,Très satisfaite,15 octobre 2022,"Très satisfaite, dommage que la couleur demandée était rose et reçue bleue. Mais je garde.",saint yves,8 avis,FR,True,Showroomprive.com,"Bonjour Saint yves,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre pull non conforme.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Ayoub",5
4778,J’ai commandé une montre Armani j’ai…,15 octobre 2022,J’ai commandé une montre Armani j’ai les reçu avec une pile HS,Fatna,1 avis,FR,True,Showroomprive.com,"Bonjour Fatna,

Je suis sincèrement désolé d'apprendre que vous ayez reçu les piles de votre montre défectueuses.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Ayoub",1
4779,Après vente,10 octobre 2022,"Quand il y a un problème , le service aptès vente n'est pas à la hauteur",Trib,4 avis,FR,True,Showroomprive.com,"Bonjour Trib,

Je fais suite à votre avis concernant notre service client.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
4780,Livraison rapide,01 octobre 2022,"Livraison rapide; j’aime bien le site Showroom. Parfois le prix de la livraison est un peu élevé, mais reste néanmoins moins cher que son concurrent.",Chris,2 avis,FR,True,Showroomprive.com,"Bonjour Chris,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
A très bientôt,
Ayoub",4
4781,Commande non remboursée,04 octobre 2022,A ce jour j'ai passé une commande non honorée et je ne suis pas remboursée de la somme de 675euros. J'attends toujours des explications et mon argent,Nadia,1 avis,FR,True,Showroomprive.com,"Bonjour Nadia,

Je suis sincèrement navré d'apprendre la non-réception de votre commande.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4782,Commande parfum,15 septembre 2022,Site clair. Prix très compétitifs. Délais de livraison raisonnables.,Andre,3 avis,FR,True,Showroomprive.com,"Bonjour Andre,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",5
4783,j'ai commandé des draps housses,12 octobre 2022,"j'ai commandé des draps housses, sur les 3 il n'y en a qu'un qui correspond au descriptif , profondeur du bonnet , nombre de fils au cm2, les 2 autres sont de véritables chiffons une fois lavés, ça fait penser à des compresses de gaze Je ne recommanderai plus sur Home Passion",Marie-France,5 avis,FR,True,Showroomprive.com,"Bonjour Marie-France,

Je regrette que vos draps ne vous aient pas apporté satisfaction.

Tout d'abord, sachez que votre satisfaction est notre priorité et je vous présente mes excuses pour cette situation.

En effet, la qualité de notre approvisionnement est au cœur de nos préoccupations.

Nous travaillons notamment en étroite collaboration avec nos fournisseurs. Ainsi, nous surveillons systématiquement la provenance et la qualité de chaque produit vendu sur notre site.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
4784,Parfait,10 octobre 2022,"Très beau produit
Livraison rapide",Christine,2 avis,FR,True,Showroomprive.com,"Bonjour Christine,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
A très bientôt,
Ayoub",5
4785,Bon site fiable,14 octobre 2022,"Livraison rapide. Article bonne qualité. Site sûre, facile. Prix top.",CHAILLOU 44,8 avis,FR,True,Showroomprive.com,"Bonjour,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",5
4786,Super affaire LEE,12 octobre 2022,"Produit, prix & livraison , tout était parfait ; )
merci!",Client Chatenay-Malabry,3 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",5
4787,Satisfaite mais moins qu'avant,14 octobre 2022,"Je suis satisfaite mais moins qu'auparavant, les produits sont très bien décrits en général et de bonne qualité, par contre des problèmes sur les livraisons parfois et désormais il y a des marques qui se font de la pub via le site mais leurs prix ne sont pas plus intéressants que d'habitude.",Mme MAINGUY Audrey,2 avis,FR,True,Showroomprive.com,"Bonjour Audrey,

Je vous remercie pur l'intérêt que vous portez à notre site.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",4
4788,Erreur d'article dans l'envoi de ma…,12 octobre 2022,"Erreur d'article dans l'envoi de ma commande et impossible de changer contre l'article commandé.
Ce n'est pas normal, l'erreur est humaine et la moindre des choses est de ne pas pénaliser l'acheteur.
La proposition de remboursement ou dédommagement ne remplace en rien un article.",Carine,2 avis,FR,True,Showroomprive.com,"Bonjour Carine,

Je suis sincèrement désolé d'apprendre que vous ayez reçu un article non conforme dans votre commande.

Je vous présente nos excuses pour ce désagrément.
Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 14/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
4789,"Bonjour, point relais à banir.",11 octobre 2022,"Bonjour, j'ai choisi un nouveau point relais et ce dernier est toujours absent même aux horaires déclaré, c'est un point relais à banir.
Il ne répond même pas au téléphone.",mohamed aarab,3 avis,FR,True,Showroomprive.com,"Bonjour Mohamed,

Je suis sincèrement désolé d'apprendre que vous ayez rencontré des difficultés à réceptionner de votre colis.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Ce sont vos commentaires qui nous permettent de le faire.

Après vérification, je suis ravi de constater la livraison de votre colis en date du 14/10/22.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4790,Déçue …,12 octobre 2022,"J’ai passé une commande d’un ensemble de lingerie, j’ai bien reçu le mail pour me dire que ma commande était expédiée, et le lendemain un nouveau mail pour me dire qu’elle n’était pas complète..
Qui a envie d’un bas de sous vêtement sans le haut qui aille avec ? Pas de mail demandant de choisir si l’on souhaite 1/2 commande ou non (alors que ce serait appréciable)",Odessa F,2 avis,FR,True,Showroomprive.com,"Bonjour Odessa,

Je suis sincèrement navré d'apprendre que vous ayez reçu votre commande incomplète.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4791,Un peu de retard dans la livraison,14 octobre 2022,"Un peu de retard dans la livraison, j’ai dû relancer Shoowroom mais sinon tout s’est bien passé.",Virginie,2 avis,FR,True,Showroomprive.com,"Bonjour Virginie,
Nous vous remercions de votre confiance et fidélité.
Ayoub",4
4792,tres bien,12 octobre 2022,"tres bien, commande conforme",LUCAS CLAIRE,4 avis,FR,True,Showroomprive.com,"Bonjour Claire,
Nous vous remercions de votre confiance et fidélité.
Ayoub",5
4793,Commande incomplète comme régulièrement,14 octobre 2022,"Vous proposez des articles, on passe commande et après une fois le colis envoyer vous prévenez que des articles ne sont plus disponible ! Cette situation est trop régulière je trouve ça très mal honnête envers les clients ! Assurez vous comme tous les magasins et tous les autres sites que vos produits sont bien disponibles plutôt que d appâter les clients 😡 cette situation est arrivée trop de fois et ne me donne plus envie de commander sur votre site",carole boulay,1 avis,FR,True,Showroomprive.com,"Bonjour Carole,

Je suis sincèrement navré d'apprendre l'annulation partielle de votre commande.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4794,Selon les ventes Polo club,13 octobre 2022,"Selon les ventes, vous ne livrez plus à la Reunion.
Cette information on l a que lors de la validation de la commande.
C est énormément de temps de perdu à choisir des articles pour qu au final on ne puisse pas passer commande..",Frederic,1 avis,RE,True,Showroomprive.com,"Bonjour Frederic,

Je fais suite à votre avis au sujet des modalités de livraison de vos colis.

En effet, je vous informe que pour des raisons logistiques, le poids maximal des colis expédiés Outre-Mer est limité à 15 kg.

Aussi, les dimensions du colis doivent être telles que la somme de la longueur, de la largeur et de la hauteur ne dépasse pas 1,5 mètres, dont 1 mètre pour le côté le plus long.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
4795,Envoi rapide,04 octobre 2022,"Envoi rapide . La commande correspond toujours à ce que j'ai demandé, il n'y a jamais d'erreur contrairement à d'autres sites .... c'est pour cela que je recommande et que je reste fidèle",Sophie Bontemps,2 avis,PF,True,Showroomprive.com,"Bonjour Sophie,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",5
4796,Ventes variées et tarifs avantageux,08 octobre 2022,"Je commande régulièrement sur showroomprive. Les réductions sont intéressantes, la livraison a généralement lieu avant la date indiquée lors de la vente et la livraison est souvent proposé chez un commerçant ""mondial relay "", avec la aussi de nombreux choix permettant de récupérer son colis à proximité de son domicile. Seul bémol, l'abonnement proposé à 20 € pour des livraisons gratuites ne s'applique qu'à de rares ventes.",Béatrice,7 avis,FR,True,Showroomprive.com,"Bonjour Béatrice,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",5
4797,Parfait,01 octobre 2022,"Parfait, articles très beaux avec une belle réduction. Livraison rapide",Laurie,1 avis,FR,True,Showroomprive.com,"Bonjour Laurie,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",5
4798,J’ai passé commande d’un meuble tv,12 octobre 2022,"J’ai passé commande d’un meuble tv, quand j’ai voulu le monter, à la première étape à peine il manqué des des trous sur une planche j’imagine pas la suite",Jamilla,1 avis,FR,True,Showroomprive.com,"Bonjour Jamilla,

Je fais suite à votre avis au sujet du défaut présent sur votre meuble.

Je vous présente nos excuses pour ce désagrément.
Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 14/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
4799,Bonjour,13 octobre 2022,"Bonjour, Actuellement je ne suis toujours pas livrée de ma commande. Celle-ci devait avoir lieu hier qui a été repoussé à ce jour par un transporteur mais toujours rien et surtout sans nouvelle !!!
Merci de me tenir informé",Stephanie Boisgard,4 avis,FR,True,Showroomprive.com,"Bonjour Stephanie,

Je suis sincèrement désolé d'apprendre que vous n'ayez toujours pas reçu votre commande.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Ayoub",1
4800,Livraison rapide et conforme à la…,01 octobre 2022,Livraison rapide et conforme à la description sur le site internet.,Alain,1 avis,FR,True,Showroomprive.com,"Bonjour Alain,
Nous vous remercions de votre confiance et fidélité.
Ayoub",5
4801,Très bonne écoute,13 octobre 2022,"Très bonne écoute.
Volonté de satisfaire à la demande",Anita,1 avis,FR,True,Showroomprive.com,"Bonjour Anita,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",5
4802,Aucun problème de commande,29 septembre 2022,Aucun problème de commande. Colis arrivés en temps en et heure voire même en avance de quelques jours pour certains. Colis arrivés en bon état.,Virginie,1 avis,FR,True,Showroomprive.com,"Bonjour Virginie,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
A très bientôt,
Ayoub",5
4803,Je tenais à vous faire part de mon…,07 octobre 2022,"Je tenais à vous faire part de mon mécontentement après avoir eu ma commande annulée sans aucune explication. En effet je passe commande sur votre service prélevé sur mon compte et deux jours avant la réception du colis vous me signalez que c’est annulé et je dois me satisfaire de cette brève explication. Je suis très déçue et je remets en question le sérieux de votre site, vous avez fait de moi une cliente très mécontente",Isabelle,3 avis,FR,True,Showroomprive.com,"Bonjour Isabelle,

Je suis sincèrement désolé d'apprendre l'annulation de votre commande.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.
Un email vous a été adressé le 09/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4804,Service déplorable - articles non livrés au bout d'un mois,13 octobre 2022,"J'ai commandé des articles en date du 17/9/2022 et à ce jour le colis n'a toujours pas été livré.
Il s'agirait d'un problème avec Mondial Relay ...
Le service client m'informe qu'une enquête interne est en court et que j'aurai des nouvelles dans les 20 jours. Soit fin octobre pour une commande effectuée à la mi-septembre.
Aucune possibilité de remboursement avant la fin de l'enquête.
J'aime autant dire que ce fournisseur ne respecte pas la loi et prend ses clients pour des idiots.
Je doute que je renouvelerai cette expérience.",Cat Preuveneers,10 avis,BE,True,Showroomprive.com,"Bonjour Cat,

Je suis sincèrement désolé d'apprendre la non-réception de votre commande.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 15/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4805,café et gelée royale,14 septembre 2022,très bons produits,Guynarb,10 avis,FR,True,Showroomprive.com,"Bonjour Guynarb,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",5
4806,Bonjour,04 octobre 2022,"Bonjour
J'ai un problème avec mon achat(aspirateur) et l'acheteur ne veux rien savoir car je suis passe par un revendeur ,de plus le livreur ne sais pas pris la tête à venir livre chez moi ,il a dû aller directement a un point relais donc j'ai du me débrouiller pour aller chercher mon colis alors que les frais ne sont pas donnes",Elise Mozer,2 avis,FR,True,Showroomprive.com,"Bonjour Elise,

Je fais suite à votre message au sujet du défaut présent sur votre aspirateur.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",2
4807,Parfait très contente de Showroom…,10 octobre 2022,Parfait très contente de Showroom privé.com,Sylvie,1 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,
Nous vous remercions de votre confiance et fidélité.
Ayoub",5
4808,Bonne réception du produit,07 octobre 2022,"Bonne réception du produit.
Ce qui m'a déplu est le suivi du colis. Je n'arrivais pas à connaître la date et l'heure de livraison pour m'organiser",Hasnaa,1 avis,FR,True,Showroomprive.com,"Bonjour Hasnaa,

Je fais suite à votre message concernant les informations relatives à la livraison de vos colis sur notre site.

Pour suivre en détail chaque étape de votre livraison, connectez-vous à votre espace client, rubrique Mes commandes. Sélectionnez ensuite la commande concernée et cliquez sur Suivre mon colis.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
4809,Livraison rapide et colis bien emballé.,13 octobre 2022,"Livraison rapide et colis bien emballé.
Néanmoins, il est dommage de payer des frais de port pour chaque vente y compris lors de commandes passées le même jour...",Emma,2 avis,FR,True,Showroomprive.com,"Bonjour Emma,

Je vous remercie pur l'intérêt que vous portez à notre site.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",4
4810,Bonne promo livraison Rapide et efficace,23 septembre 2022,Utile,Imane,1 avis,FR,True,Showroomprive.com,"Bonjour Imane,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",5
4811,Au dernier moment l’un des articles…,10 octobre 2022,"Au dernier moment l’un des articles déjà payés, n’était plus. On m’a averti au dernier moment et quelques jours après on m’a remboursé l’article c’est vrai, mais la gestion de stocks pas super, sans proposer des alternatives. En plus, livraison bien plus tard de ce qui était annoncé, dans un autre relais imposé.",Olga CASTILLO-PAMMACHIUS,2 avis,FR,True,Showroomprive.com,"Bonjour Olga,

Je suis sincèrement navré d'apprendre que vous ayez reçu votre commande incomplète.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4812,Toujours satisfaite de mes achats,29 septembre 2022,Utile,valerie fernandez,4 avis,FR,True,Showroomprive.com,"Bonjour Valerie,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
A très bientôt,
Ayoub",5
4813,Très bien,28 septembre 2022,Très bien. Tout s’est très bien passé,Angelique,13 avis,FR,True,Showroomprive.com,"Bonjour Angelique,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",5
4814,Commande livrée à bonne date,10 octobre 2022,"Commande livrée à bonne date, dans ma boîte aux lettres comme prévu.",R�gine LAPERRINE,3 avis,FR,True,Showroomprive.com,"Bonjour,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",4
4815,Envoi rapide et article au top!,12 octobre 2022,Utile,Nadege,5 avis,FR,True,Showroomprive.com,"Bonjour Nadege,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",5
4816,Satisfaite des commandes,10 octobre 2022,"Commande livrée dans les délais
Toujours respectés",Elisabeth,1 avis,FR,True,Showroomprive.com,"Bonjour Elisabeth,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",5
4817,Au top juste peut être le délai de…,12 octobre 2022,Au top juste peut être le délai de livraison un peu trop long mais à part ça des produits super comme toujours à très vite Martine Goublaire,Martine GOUBLAIRE,7 avis,FR,True,Showroomprive.com,"Bonjour Martine,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",5
4818,Comportement Malhonnête,06 août 2022,"Malhonnêtes. Chaussures trop petites arrivées avec une mauvaise taille.
Retournées mais jamais remboursé.
N’achetez pas. Service client de mauvaise fois et quasi inexistant, se moque complètement de vos achats et de votre remboursement.",Michel Legrand,2 avis,FR,True,Showroomprive.com,"Bonjour Michel,

Je suis sincèrement navré d'apprendre que vous n'ayez toujours pas reçu le remboursement votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Ayant à cœur votre satisfaction, nous vous informons qu'un e-mail vous a été adressé en privé afin de nous communiquer votre numéro de commande.

Nous sommes toujours dans l'attente d'un retour de votre part.

Au moindre retour, nous nous engageons à vous recontacter afin de faire suite à votre demande.

Dans cette attente, nous restons à votre disposition pour tout complément d'information.

Cordialement,
Ayoub",1
4819,Rapide efficace,29 septembre 2022,Commande reçue 1 semaine avant la date prévue! Bravo!,Jessica,1 avis,FR,True,Showroomprive.com,"Bonjour Jessica,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
A très bientôt,
Ayoub",4
4820,Moulinex,17 septembre 2022,"Comme toujours.
A chaque commande,je suis satisfaite.
Merci",Cecile,3 avis,FR,True,Showroomprive.com,"Bonjour Cecile,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",4
4821,Satisfaite,11 octobre 2022,Très bon site !,Radhiouna,3 avis,DE,True,Showroomprive.com,"Bonjour Radhiouna,
Nous vous remercions de votre confiance et fidélité.
Ayoub",5
4822,Bien,11 octobre 2022,Rapide et efficace,Odile,1 avis,FR,True,Showroomprive.com,"Bonjour Odile,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",4
4823,Déçue de ma commande,04 octobre 2022,Utile,Carole,2 avis,FR,True,Showroomprive.com,"Bonjour Carole,

Je suis sincèrement navré d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",2
4824,Je suis cliente depuis longtemps…,11 octobre 2022,"Je suis cliente depuis longtemps seulement aujourd'hui je me sens ""arnaquée"" par l'Invité du jour Japhy. L'offre semble intéressante, je crée le profil de mon animal de compagnie, j'accepte le programme découverte croquettes&barquettes, je règle et je m'aperçois qu'il s'agit d'un abonnement avec la prochaine mensualité de 75 euros !!! le 21 octobre pour une reconduction d'office. L'entreprise m'indique que je pourrais bien annuler mon abonnement téléphoniquement le 17 octobre prochain. Vous vous sentez prise au piège, un abonnement caché à mon sens. C'est écrit sans engagement : NON car je ne peux pas le faire dans l'immédiat et d'autres personnes semblent avoir subi ce genre de déconvenues.",durand,5 avis,FR,True,Showroomprive.com,"Bonjour,

Je fais suite à votre message concernant la souscription de votre abandonnement Japhy.

Je regrette que vous ayez ce sentiement.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 12/10/22 sur ce sujet.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
4825,Facture téléphone obsolète,07 octobre 2022,"Pas de reedition de facture lors d’un sav de telephone via reconditionneur partenaire
L’ime a changé suite au remplacement du téléphone mais aucune modification de facture possible selon le service client hightech showroom donc je me retrouve avec une facture obsolète avec l’ancien ime et non l’actuel référencé",Claire B,7 avis,FR,True,Showroomprive.com,"Bonjour Claire,

Je fais suite à votre publication à la suite de l'envoi de de votre article auprès de notre fournisseur.

Nous vous présentons nos excuses pour ce désagrément.

Ayant à cœur votre satisfaction, nous vous informons qu'un e-mail vous a été adressé en privé afin de nous communiquer votre numéro de commande.

Nous sommes toujours dans l'attente d'un retour de votre part.

Au moindre retour, nous nous engageons à vous recontacter afin de faire suite à votre demande.

Dans cette attente, nous restons à votre disposition pour tout complément d'information.

Cordialement,
Ayoub",2
4826,super comme d'habitude,07 octobre 2022,"super comme d'habitude
prix a revoir a la baisse",Jean Michel Padilla,11 avis,FR,True,Showroomprive.com,"Bonjour Jean Michel,

Nous vous remercions de votre confiance et fidélité.

Cordialement,
L´équipe Showroomprivé",5
4827,Ravie de ma commande,05 octobre 2022,"Ravie de ma commande, de la rapidité de l'envoie.",Valerie,3 avis,FR,True,Showroomprive.com,"Bonjour Valerie,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",4
4828,Une bonne expérience,10 octobre 2022,Il y avait longtemps que je n’aimais pas commande . Prix hyper interessant même si c’est l’ancienne collection et rapidité de l’expédition et de la livraison,ANNE,4 avis,FR,True,Showroomprive.com,"Bonjour Anne,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4829,jamais déçue chez Showroomprivé.com,03 octobre 2022,"jamais déçue chez Showroomprivé.com
les articles sont de qualité et la livraison
est respectée.",Marie,1 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

À très bientôt sur Showroomprivé.com

Cordialement,
L´équipe Showroomprivé",5
4830,Rapidité s agissant de la livraison,11 septembre 2022,Utile,Marie-Helene,2 avis,GP,True,Showroomprive.com,"Bonjour Marie-Helene,

Nous vous remercions pour l'intérêt que vous portez à notre site.

Votre confiance et satisfaction sont nos priorités.

Cordialement,
L´équipe Showroomprivé",5
4831,J’ai reçu un de mes article endommagé…,08 octobre 2022,J’ai reçu un de mes article endommagé et attends un retour du service client,Marine,1 avis,FR,True,Showroomprive.com,"Bonjour Marine,

Je suis sincèrement navré d'apprendre que vous ayez reçu vos articles endommagés.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé ce jour sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
4832,Les frais de retour sont élevés,06 octobre 2022,"Les frais de retour sont élevés, c'est dommage car il faut souvent renvoyer certains articles et les frais de retour majorent le prix final.",Agnes,2 avis,FR,True,Showroomprive.com,"Bonjour Agnes,

Je fais suite à votre appréciation concernant les modalités de retour de vos commandes.

Je vous informe que, dans le cadre d'un retour 'Satisfait ou remboursé', les frais de retour sont à votre charge.

En effet, afin que Showroomprivé puisse proposer les meilleurs tarifs à l’ensemble de ses membres, les frais de retour ne sont pris en charge que lorsque le colis livré ne correspond pas à la commande initiale. S’il en allait différemment, le prix unitaire de chaque article s’en verrait modifié.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
4833,Satisfaction,06 octobre 2022,"Bons produits , livrés rapidement",Mme Evelyne WINNOCK,9 avis,FR,True,Showroomprive.com,"Bonjour Evelyne,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4834,Commande avec un article défectueux et…,01 octobre 2022,Commande avec un article défectueux et je n arrive pas a faire le retour...de plus les retours sont payant...,Sabrina,1 avis,FR,True,Showroomprive.com,"Bonjour Sabrina,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre article défectueux.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Ayoub",1
4835,On m'a envoyé un produit différent de…,08 octobre 2022,On m'a envoyé un produit différent de celui que j'ai commandé. Et impossible pour eux de me renvoyer l'article en question...Je suis très déçue,Chris,1 avis,FR,True,Showroomprive.com,"Bonjour Chris,

Je suis sincèrement désolé d'apprendre que vous ayez reçu un article non conforme dans votre commande.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Une réponse vous a été apportée le 08/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
